,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
LBGI,adult#001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBGI,adult#001,1.510901529577217,1.5108889258766298,1.5108392783491316,1.5107481857632943,1.5106276895868478,1.5104917510776243,1.5103509453200268,1.510212120773933,2.1175142996404372,3.135768295429955,2.647273698686343,2.342030201884194,2.3639450488331386,3.070955380665388,4.826700502346089,3.316292728954286,2.6669931809896408,1.6073627689678187,0.44448103257902527,0.11042733419474586,0.22335491710441382,0.5037269336176262,0.14859476496143245,0.04829597001601492
Risk Index,adult#001,1.510901529577217,1.5108889258766298,1.5108392783491316,1.5107481857632943,1.5106276895868478,1.5104917510776243,1.5103509453200268,1.510212120773933,2.1175142996404372,3.135768295429955,2.647273698686343,2.342030201884194,2.3639450488331386,3.070955380665388,4.826700502346089,3.316292728954286,2.6669931809896408,1.6073627689678187,0.44448103257902527,0.11042733419474586,0.22335491710441382,0.5037269336176262,0.14859476496143245,0.04829597001601492
